,boxPlot,darkmoon,dps,fightLength,igniteDps,igniteDrops,nightfall,numMages,numPIs,numWB,percentDpsIncrease,percentIgniteDpsIncrease,rotation,semiWB,stdDev,weightedTicks,totalCrit
18,"Boxplot values: 4490, 5092, 5269, 5263, 5436, 6106",,5263.0,40,1011.0,"Ignite Drop times on avg List(29.05593551679582, 38.048968010465074, 39.8436671226728, 40.004102034819915, 40.00060158477276)",,5,0,3,1.007272727272727,0.9796511627906976,4,0,250.60076314885976,13.759817940000017,0.08177599697530001
19,"Boxplot values: 4246, 4878, 5055, 5052, 5226, 5873",,5052.0,40,1010.0,"Ignite Drop times on avg List(28.60240175554522, 37.990195669731264, 39.85479209919491, 40.008521161097725, 40.00011821669408)",,5,0,3,0.96688995215311,0.9786821705426356,8,0,246.99087588675167,13.951047879999996,0.08177599697530001
20,"Boxplot values: 4212, 4884, 5048, 5046, 5210, 5757",,5046.0,40,962.0,"Ignite Drop times on avg List(33.18703185113117, 38.981118355228915, 39.9851350806606, 40.00521305311611, 40.000382046946946)",,5,0,3,0.9657416267942583,0.9321705426356588,2,0,227.76834364970563,12.342225499999955,0.08177599697530001
21,"Boxplot values: 4291, 5044, 5249, 5223, 5420, 5885",,5223.0,40,1052.0,"Ignite Drop times on avg List(30.529652923948078, 38.42493907832657, 39.84418885550624, 40.00119114641067, 40.00168016827418)",,5,0,3,0.9996172248803828,1.0193798449612403,7,0,257.8544048539851,14.741356079999964,0.08177599697530001
22,"Boxplot values: 4334, 5059, 5227, 5225, 5395, 5936",,5225.0,40,1032.0,"Ignite Drop times on avg List(30.496099296078103, 38.274659178699864, 39.87513579076746, 40.0086312635657, 40.00152361084996)",,5,0,3,1.0,1.0,1,0,237.59218214354274,13.26043839999998,0.08177599697530001
23,"Boxplot values: 4350, 5062, 5235, 5230, 5402, 6010",,5230.0,40,1035.0,"Ignite Drop times on avg List(30.632107596227574, 38.28915665602273, 39.87682008760453, 40.00290743482367, 40.00163526043648)",,5,0,3,1.0009569377990428,1.002906976744186,3,0,239.41398331627843,13.339197299999974,0.08177599697530001
24,"Boxplot values: 4087, 4859, 5056, 5050, 5251, 5899",,5050.0,40,970.0,"Ignite Drop times on avg List(26.298662159736786, 36.065846155867085, 39.43052823307902, 39.98344821071404, 40.002159308890775)",,5,0,3,0.9665071770334928,0.939922480620155,5,0,276.9486587503576,12.432394699999964,0.08177599697530001
25,"Boxplot values: 4271, 5047, 5233, 5223, 5410, 5890",,5223.0,40,1039.0,"Ignite Drop times on avg List(30.247810776301392, 38.26181909504001, 39.84392657535941, 40.00202822912265, 40.00185201989575)",,5,0,3,0.9996172248803828,1.006782945736434,6,0,248.31910304179692,14.049659360000064,0.08177599697530001
26,"Boxplot values: 4427, 5111, 5300, 5299, 5487, 6114",,5299.0,40,997.0,"Ignite Drop times on avg List(23.961666695970546, 36.163824937783126, 39.44592489273863, 39.981756130982404, 40.00101669213426)",,5,0,3,1.0141626794258374,0.9660852713178296,0,0,258.10645858370737,15.150591939999988,0.08177599697530001
27,"Boxplot values: 4323, 4926, 5111, 5132, 5318, 6464",,5132.0,60,977.0,"Ignite Drop times on avg List(24.00591967010032, 36.51150451482001, 45.991350163384, 53.49224607368143, 57.91608726350079, 59.63236501473733, 59.97948383173827, 59.999909959409024, 60.00032374611646)",,5,2,1,0.996698388036512,0.9173708920187792,0,0,285.62701387840195,21.501820287200022,0.14212810590187014
28,"Boxplot values: 4254, 4978, 5177, 5202, 5396, 6497",,5202.0,60,1142.0,"Ignite Drop times on avg List(29.661243929924595, 41.63723717357015, 50.21864465738209, 56.117105735185476, 59.007061620797614, 59.8781614124806, 59.99415424610112, 59.99984348949314)",,5,2,1,1.0102932608273452,1.0723004694835678,6,0,319.2434583925262,22.838345552000014,0.14212810590187014
29,"Boxplot values: 4279, 4945, 5129, 5149, 5331, 6476",,5149.0,60,1065.0,"Ignite Drop times on avg List(28.158251561629463, 39.44240497308563, 48.35117663337657, 55.18550176003529, 58.767814647190846, 59.84309094667144, 59.990352851853125, 60.00104256998913)",,5,2,1,1.0,1.0,1,0,288.03630488578773,21.110699543999928,0.14212810590187014
30,"Boxplot values: 4195, 4803, 4988, 5009, 5191, 6295",,5009.0,60,1024.0,"Ignite Drop times on avg List(24.876885379438402, 37.47155996965103, 46.897010087534404, 54.14035666051352, 58.271376136708064, 59.70723768308581, 59.978495358261966, 60.00249089372978, 60.00046422633481)",,5,2,1,0.9728102544183336,0.9615023474178404,8,0,291.3380773346914,21.208627985599968,0.14212810590187014
31,"Boxplot values: 4273, 4893, 5092, 5110, 5311, 6308",,5110.0,60,1006.0,"Ignite Drop times on avg List(25.360723756648575, 37.46179639545309, 46.6915858936963, 54.02216574506471, 58.22375665056018, 59.68778908627951, 59.976783211464166, 60.000931486123044, 60.00014452996413)",,5,2,1,0.9924257137308216,0.9446009389671362,3,0,298.91619243436776,21.154278789599907,0.14212810590187014
32,"Boxplot values: 4275, 4990, 5189, 5218, 5421, 6402",,5218.0,60,1187.0,"Ignite Drop times on avg List(30.453845487846817, 42.96615281434236, 51.19565660268737, 56.5900829015548, 59.1575445399198, 59.89401138190995, 59.99489917438719, 60.00030324724249)",,5,2,1,1.0134006603223926,1.1145539906103286,7,0,325.08203371226244,23.892245783999964,0.14212810590187014
33,"Boxplot values: 4260, 4915, 5107, 5124, 5306, 6539",,5124.0,60,1055.0,"Ignite Drop times on avg List(24.616733952292392, 36.21554956250222, 46.18252090332391, 53.901053936966505, 58.20050037783078, 59.69716086876774, 59.98188045064956, 60.001207504994575)",,5,2,1,0.9951446882889882,0.9906103286384976,5,0,295.04110904447896,20.86859830000005,0.14212810590187014
