,numMages,fightLength,numPIs,numWB,semiWB,rotation,dps,igniteDps,weightedTicks,stdDev,boxPlot,igniteDrops,percentDpsIncrease,percentIgniteDpsIncrease,totalCrit
144,7,40,2,3,0,7,7667.0,1670.0,22.42795354799981,339.1051072298391,"Boxplot values: 6355, 7430, 7699, 7667, 7936, 8540","Ignite Drop times on avg List(33.763272417852185, 39.459531216432715, 39.98437751711573, 40.00140400359587)",1.0026154047338829,1.0483364720652857,0.058134801198331955
145,7,40,2,3,0,5,7388.0,1482.0,19.780901667999977,375.9748089668375,"Boxplot values: 6175, 7120, 7371, 7388, 7669, 8383","Ignite Drop times on avg List(29.10932362189925, 37.56056873221933, 39.73019410797215, 39.99262523943488, 39.9995508578325)",0.9661305086962207,0.9303201506591338,0.058134801198331955
146,7,40,2,3,0,4,7692.0,1564.0,21.03256856799989,363.43947039356317,"Boxplot values: 6325, 7456, 7712, 7692, 7961, 8703","Ignite Drop times on avg List(32.52415325365715, 39.06770186826979, 39.95377526191459, 40.001475263923425, 40.000219585048654)",1.0058846606512355,0.9817953546767106,0.058134801198331955
147,7,40,2,3,0,3,7680.0,1604.0,21.476658781599866,372.9438883117791,"Boxplot values: 6419, 7427, 7704, 7680, 7959, 8661","Ignite Drop times on avg List(30.867307703082886, 38.77282538306247, 39.92582769367599, 40.00682304499133, 40.001281611135376)",1.0043154178109062,1.0069052102950409,0.058134801198331955
148,7,40,2,3,0,2,7543.0,1594.0,21.29478207999989,344.622005686564,"Boxplot values: 6148, 7306, 7557, 7543, 7803, 8410","Ignite Drop times on avg List(31.02616385259342, 38.782148131203755, 39.94018014021926, 40.00019883187728, 40.00090895715591)",0.9863998953838108,1.0006277463904585,0.058134801198331955
149,7,40,2,3,0,8,7303.0,1461.0,20.67669802000004,387.2421889490217,"Boxplot values: 6029, 7024, 7270, 7303, 7559, 8569","Ignite Drop times on avg List(30.95456337752733, 38.89467328629403, 39.95462962099189, 40.00176266409042, 39.999977704982996)",0.9550150385772198,0.9171374764595104,0.058134801198331955
150,7,40,2,3,0,1,7647.0,1593.0,21.332516743999953,348.554500178775,"Boxplot values: 6292, 7405, 7655, 7647, 7918, 8614","Ignite Drop times on avg List(32.687095994081595, 39.070294341748316, 39.95845829452353, 40.00234950836277, 40.00078686954246)",1.0,1.0,0.058134801198331955
151,7,40,2,3,0,6,7662.0,1635.0,21.943079091999845,344.86725084808523,"Boxplot values: 6395, 7423, 7682, 7662, 7935, 8550","Ignite Drop times on avg List(33.34283999203518, 39.24436210269377, 39.96819260171298, 40.00259655743617)",1.0019615535504118,1.0263653483992468,0.058134801198331955
152,7,40,2,3,0,0,7466.0,1266.0,20.317842177599967,343.14703373176917,"Boxplot values: 6381, 7229, 7447, 7466, 7678, 8913","Ignite Drop times on avg List(30.7081116260563, 38.70152183982269, 39.948001592754316, 40.002001445132386, 40.00089226759091)",0.9763305871583629,0.7947269303201506,0.058134801198331955
153,7,60,4,2,5,2,7617.0,1651.0,33.218587291999995,351.82432409401724,"Boxplot values: 6338, 7382, 7601, 7617, 7841, 8699","Ignite Drop times on avg List(37.28929640614965, 49.872330572439445, 56.65198748692736, 59.29444579581134, 59.901542462936874, 59.99409980047924, 60.00099511896854)",0.997903838595572,1.0172520024645717,0.039271212035932306
154,7,60,4,2,5,5,7650.0,1649.0,33.218373628000066,352.6118567614244,"Boxplot values: 6319, 7408, 7631, 7650, 7879, 8717","Ignite Drop times on avg List(36.1242467426621, 49.81450569859952, 56.93472220702057, 59.39873524965684, 59.94250315867434, 59.999747657343114, 60.000224892037934)",1.0022271714922049,1.0160197165742453,0.039271212035932306
155,7,60,4,2,5,1,7633.0,1623.0,32.68133959200004,343.01825637612035,"Boxplot values: 6396, 7409, 7621, 7633, 7852, 8768","Ignite Drop times on avg List(37.248634574230266, 49.76508171190298, 56.636890241840334, 59.322527622119864, 59.929152363417295, 59.99642291559587, 60.0009792076007)",1.0,1.0,0.039271212035932306
156,7,60,4,2,5,4,7640.0,1548.0,31.31882384400005,325.59988845400187,"Boxplot values: 6374, 7440, 7649, 7640, 7849, 8838","Ignite Drop times on avg List(35.71455461168447, 48.03324188220326, 56.024230370404105, 59.302298096017715, 59.94301268434502, 60.000785892494264)",1.0009170706144372,0.953789279112754,0.039271212035932306
157,7,60,4,2,5,6,7685.0,1728.0,35.10510317599998,362.50032724825707,"Boxplot values: 6248, 7440, 7666, 7685, 7935, 8746","Ignite Drop times on avg List(40.9383564899472, 52.805464397487846, 58.08020774179294, 59.63292202214463, 59.96271882815296, 59.99828626785501)",1.0068125245643915,1.064695009242144,0.039271212035932306
158,7,60,4,2,5,8,7368.0,1511.0,31.326217964800023,383.8293439987748,"Boxplot values: 6165, 7108, 7348, 7368, 7605, 8965","Ignite Drop times on avg List(34.71173489240813, 48.43922138925847, 56.155811174879936, 59.21785406898609, 59.91933449761653, 60.001431564241265, 60.00052076341454)",0.9652823267391588,0.9309919901417129,0.039271212035932306
159,7,60,4,2,5,3,7638.0,1603.0,32.30216883520005,334.12589238332924,"Boxplot values: 6381, 7434, 7650, 7638, 7858, 8839","Ignite Drop times on avg List(34.50098448123631, 47.81077208857562, 55.86059840698675, 59.15898669712815, 59.905244146828245, 59.99509167254375, 59.99950892009842)",1.0006550504388838,0.9876771410967344,0.039271212035932306
160,7,60,4,2,5,7,7710.0,1811.0,37.06860850000013,369.0335650570312,"Boxplot values: 6328, 7460, 7700, 7710, 8016, 8523","Ignite Drop times on avg List(44.21704834779884, 55.14496972265091, 58.82800353303693, 59.80862781695147, 59.977655170751746, 59.99878147461762)",1.0100877767588103,1.1158348736906962,0.039271212035932306
161,7,60,4,2,5,0,7399.0,1290.0,30.71894244319999,306.0811074998728,"Boxplot values: 6443, 7192, 7388, 7399, 7600, 8745","Ignite Drop times on avg List(33.37262712754592, 47.229132171759076, 55.57444299671205, 58.96568493063578, 59.87144329939558, 59.997053636500894, 60.00004685658049)",0.9693436394602384,0.7948243992606284,0.039271212035932306
162,7,80,0,5,2,4,7112.0,1306.0,35.1742896999998,207.5463285636434,"Boxplot values: 6303, 6977, 7121, 7112, 7256, 7787","Ignite Drop times on avg List(37.69646043780218, 54.61191682221566, 67.27125566781383, 75.24977942652097, 78.81286353382528, 79.81403364997459, 79.9844099686625, 79.99642203329134)",1.0055139261982189,0.9617083946980854,0.02752535402807826
163,7,80,0,5,2,7,7015.0,1429.0,39.63249839999999,182.10245218301648,"Boxplot values: 5949, 6903, 7026, 7015, 7143, 7549","Ignite Drop times on avg List(48.445097697890034, 67.85498789061876, 76.20897336332177, 79.0500120563368, 79.81494867847995, 79.97706771846795, 79.99788116640475, 79.99932761169453, 80.00022761169453)",0.9917998020641876,1.0522827687776142,0.02752535402807826
164,7,80,0,5,2,1,7073.0,1358.0,36.13038571999979,195.47991661826262,"Boxplot values: 6353, 6941, 7081, 7073, 7212, 7675","Ignite Drop times on avg List(39.40303837715484, 57.45087291564781, 69.66557680893506, 76.41868303549894, 79.0946738011174, 79.83997729250041, 79.97385235142409, 79.99856698504719)",1.0,1.0,0.02752535402807826
165,7,80,0,5,2,3,7072.0,1358.0,36.14610999999963,195.9582024881773,"Boxplot values: 6390, 6940, 7078, 7072, 7210, 7661","Ignite Drop times on avg List(39.32656530112931, 57.16627989461404, 69.42587621757866, 76.35351127700747, 79.11324466685173, 79.84061037129352, 79.98016697520137, 80.00003359764484, 80.00041490252721)",0.9998586172769688,1.0,0.02752535402807826
166,7,80,0,5,2,2,6955.0,1320.0,35.081941399999856,197.81419239277642,"Boxplot values: 6131, 6822, 6962, 6955, 7095, 7591","Ignite Drop times on avg List(43.55082514381948, 59.970270094142165, 71.103090327903, 77.09525483521614, 79.29820073662206, 79.88123616574305, 79.98717054269568, 80.00048101719179)",0.983316838682313,0.9720176730486008,0.02752535402807826
167,7,80,0,5,2,6,7053.0,1398.0,38.01332700000014,184.51236965626853,"Boxplot values: 6204, 6938, 7062, 7053, 7182, 7583","Ignite Drop times on avg List(43.238861725216076, 62.70826607762405, 73.43223125005007, 78.07469832475586, 79.59023023170883, 79.94370521753189, 79.98936002765551, 79.99992130934675)",0.9971723455393752,1.0294550810014726,0.02752535402807826
168,7,80,0,5,2,5,7084.0,1406.0,37.41725789999988,187.77496747744345,"Boxplot values: 6290, 6960, 7094, 7084, 7219, 7713","Ignite Drop times on avg List(37.803904935046184, 57.90744944057519, 70.7998117681977, 77.1139730783867, 79.32784229472081, 79.87610298676961, 79.99380796936904, 79.99927925699424)",1.0015552099533438,1.0353460972017674,0.02752535402807826
169,7,80,0,5,2,8,6912.0,1308.0,36.54652737999979,225.78610551475674,"Boxplot values: 6127, 6761, 6922, 6912, 7071, 7625","Ignite Drop times on avg List(38.92355472276935, 57.382874168896315, 69.66139467310617, 76.36860906312208, 79.06813396239589, 79.8378576799487, 79.98149711892552, 80.0004056194664)",0.9772373815919696,0.9631811487481592,0.02752535402807826
170,7,80,0,5,2,0,7038.0,1245.0,37.48947642000017,222.6721774821603,"Boxplot values: 6185, 6886, 7044, 7038, 7194, 7724","Ignite Drop times on avg List(35.809388705911466, 55.27516281363729, 68.11157235688309, 75.46029386815746, 78.68814074977128, 79.72477034171833, 79.96295697495306, 79.99649658799567)",0.9950516046939064,0.9167893961708394,0.02752535402807826
171,7,80,5,1,6,1,7373.0,1523.0,40.99339925999996,296.6224998057047,"Boxplot values: 6310, 7178, 7359, 7373, 7554, 8618","Ignite Drop times on avg List(36.527131983592625, 50.96350870644147, 63.16628200473335, 72.08142457643646, 77.13387647707164, 79.25922926809342, 79.86590875242167, 79.98001350916086, 79.99905998376542, 80.00001788938488)",1.0,1.0,0.04421009374056817
172,7,80,5,1,6,2,7360.0,1534.0,41.231411540000046,303.4071887932768,"Boxplot values: 6313, 7163, 7349, 7360, 7544, 8649","Ignite Drop times on avg List(36.47392791897733, 50.92520771854864, 63.01742258724556, 71.97960675573631, 77.09407652271112, 79.2254490266423, 79.84065728507782, 79.982621596331, 79.99908209811156)",0.998236809982368,1.0072225869993434,0.04421009374056817
173,7,80,5,1,6,5,7388.0,1539.0,41.376054060000065,306.36363815633524,"Boxplot values: 6383, 7183, 7375, 7388, 7578, 8601","Ignite Drop times on avg List(36.10556955767689, 51.68200226158414, 64.13070952127896, 72.7077465639647, 77.36137992517027, 79.30069730198011, 79.86967105330835, 79.98700747020554, 79.99970444268642, 80.0000016169321)",1.0020344500203444,1.010505581089954,0.04421009374056817
174,7,80,5,1,6,8,7197.0,1460.0,39.7341560792001,319.7571932271736,"Boxplot values: 6191, 6979, 7180, 7197, 7400, 8647","Ignite Drop times on avg List(33.91789496260406, 48.7886854853149, 61.58625291705315, 71.1089104183076, 76.6965076381186, 79.08673950691897, 79.82275640990014, 79.9792704787929, 79.998483593015, 79.99967693967945)",0.9761291197612912,0.9586342744583058,0.04421009374056817
175,7,80,5,1,6,7,7431.0,1704.0,46.98346356000002,345.8081059669665,"Boxplot values: 6138, 7200, 7394, 7431, 7633, 8497","Ignite Drop times on avg List(44.496778206123345, 61.71432246235103, 71.9908039583668, 77.07353042775493, 79.15612111464898, 79.82032805399741, 79.9758028289791, 79.99921232634134, 79.99971133991964)",1.0078665400786655,1.118844386080105,0.04421009374056817
176,7,80,5,1,6,6,7422.0,1630.0,44.47415390000011,324.25044582214366,"Boxplot values: 6322, 7212, 7402, 7422, 7607, 8492","Ignite Drop times on avg List(40.733248189650894, 56.919701760933535, 68.57127077939222, 75.37523786553693, 78.58028426630028, 79.65788824290209, 79.93643764049408, 79.99219831993256, 79.9989089525619)",1.006645870066459,1.0702560735390676,0.04421009374056817
177,7,80,5,1,6,0,7197.0,1279.0,39.08859202159997,266.37050626779467,"Boxplot values: 6302, 7016, 7191, 7197, 7365, 8596","Ignite Drop times on avg List(32.93354977085007, 47.763372240189206, 60.503377594932935, 70.36832491484807, 76.27679231489094, 78.98037699533288, 79.8150015288211, 79.97432236735874, 79.9987482508274, 79.9998621117769)",0.9761291197612912,0.8397898883782009,0.04421009374056817
178,7,80,5,1,6,4,7392.0,1455.0,39.18330270800003,276.096262582895,"Boxplot values: 6414, 7210, 7391, 7392, 7569, 8742","Ignite Drop times on avg List(34.6784750746313, 48.05025179917992, 60.24860565938201, 70.08545089804561, 76.35664380407755, 79.0941307226124, 79.85580078099201, 79.98805831682711, 79.99897057562393)",1.0025769700257696,0.9553512803676952,0.04421009374056817
179,7,80,5,1,6,3,7377.0,1490.0,40.39929443440015,290.6412578491665,"Boxplot values: 6295, 7192, 7385, 7377, 7570, 8529","Ignite Drop times on avg List(33.62242801937694, 48.06522605668393, 61.06360094961495, 70.8178464558952, 76.54084791975627, 79.06045598309575, 79.82883857471323, 79.98127065719487, 80.00026495516882)",1.0005425200054252,0.9783322390019698,0.04421009374056817
180,7,100,1,1,0,6,6572.0,1202.0,40.99156912400005,238.61439870783343,"Boxplot values: 5779, 6407, 6568, 6572, 6728, 7634","Ignite Drop times on avg List(31.423546770493065, 47.95656057087802, 60.66037642481398, 72.29366759511159, 82.53310768254941, 90.40228598138678, 95.44639999419731, 98.21527522752802, 99.48873747456018, 99.8892082466553, 99.98671490189618, 100.0012806020648)",1.0056618209640398,1.0732142857142857,0.09511192274458892
